set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_n8,2391,deck:deg_seq,taus,number of spanning trees,False,7.991713,5.847391,2.144322
chem_n8,2391,deck:deg_seq,tri,number of triangles,False,2.711663,1.40233,1.309333
chem_n8,2391,deck:deg_seq,wiener,Wiener index,False,5.197528,3.827911,1.369617
chem_n8,2391,deck:deg_seq,n,order n,True,0.91807,0.91807,0.0
chem_n8,2391,deck:deg_seq,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:deg_seq,C,Sombor deletion correction C(G),True,8.917084,8.917084,0.0
chem_n8,2391,deck:edge_types,ds,degree sequence of G,False,6.358748,6.357912,0.000836
chem_n8,2391,deck:edge_types,ds_sig,multiset of degree sequences of the cards,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:edge_types,et,multiset of edge degree-types of G,False,8.917921,8.917084,0.000836
chem_n8,2391,deck:edge_types,so,Sombor index SO(G),False,8.917921,8.917084,0.000836
chem_n8,2391,deck:edge_types,dd,multiset {Delta_e},False,10.910835,10.909998,0.000836
chem_n8,2391,deck:edge_types,taus,number of spanning trees,False,7.991713,7.678312,0.3134
chem_n8,2391,deck:edge_types,tri,number of triangles,False,2.711663,2.442185,0.269477
chem_n8,2391,deck:edge_types,wiener,Wiener index,False,5.197528,5.004748,0.19278
chem_n8,2391,deck:edge_types,n,order n,False,0.91807,0.917233,0.000836
chem_n8,2391,deck:edge_types,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:edge_types,C,Sombor deletion correction C(G),False,8.917084,8.916248,0.000836
chem_n8,2391,deck:n_comp,ds,degree sequence of G,False,6.358748,4.078369,2.28038
chem_n8,2391,deck:n_comp,ds_sig,multiset of degree sequences of the cards,False,8.917921,4.409431,4.50849
chem_n8,2391,deck:n_comp,et,multiset of edge degree-types of G,False,8.917921,4.409431,4.50849
chem_n8,2391,deck:n_comp,so,Sombor index SO(G),False,8.917921,4.409431,4.50849
chem_n8,2391,deck:n_comp,dd,multiset {Delta_e},False,10.910835,4.575469,6.335366
chem_n8,2391,deck:n_comp,taus,number of spanning trees,False,7.991713,3.543806,4.447907
chem_n8,2391,deck:n_comp,tri,number of triangles,False,2.711663,0.69348,2.018183
chem_n8,2391,deck:n_comp,wiener,Wiener index,False,5.197528,2.109208,3.08832
chem_n8,2391,deck:n_comp,n,order n,False,0.91807,0.440533,0.477537
chem_n8,2391,deck:n_comp,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:n_comp,C,Sombor deletion correction C(G),False,8.917084,4.408594,4.50849
chem_n8,2391,deck:comp_sizes,ds,degree sequence of G,False,6.358748,5.020968,1.337781
chem_n8,2391,deck:comp_sizes,ds_sig,multiset of degree sequences of the cards,False,8.917921,5.491601,3.42632
chem_n8,2391,deck:comp_sizes,et,multiset of edge degree-types of G,False,8.917921,5.491601,3.42632
chem_n8,2391,deck:comp_sizes,so,Sombor index SO(G),False,8.917921,5.491601,3.42632
chem_n8,2391,deck:comp_sizes,dd,multiset {Delta_e},False,10.910835,5.668829,5.242006
chem_n8,2391,deck:comp_sizes,taus,number of spanning trees,False,7.991713,4.078301,3.913412
chem_n8,2391,deck:comp_sizes,tri,number of triangles,False,2.711663,1.03189,1.679773
chem_n8,2391,deck:comp_sizes,wiener,Wiener index,False,5.197528,3.059645,2.137883
chem_n8,2391,deck:comp_sizes,n,order n,True,0.91807,0.91807,0.0
chem_n8,2391,deck:comp_sizes,m,size m,True,2.999555,2.999555,0.0
chem_n8,2391,deck:comp_sizes,C,Sombor deletion correction C(G),False,8.917084,5.490764,3.42632
chem_n8,2391,deck:tri,ds,degree sequence of G,False,6.358748,3.701331,2.657417
chem_n8,2391,deck:tri,ds_sig,multiset of degree sequences of the cards,False,8.917921,4.690217,4.227704
chem_n8,2391,deck:tri,et,multiset of edge degree-types of G,False,8.917921,4.690217,4.227704
chem_n8,2391,deck:tri,so,Sombor index SO(G),False,8.917921,4.690217,4.227704
chem_n8,2391,deck:tri,dd,multiset {Delta_e},False,10.910835,6.1284,4.782435
chem_n8,2391,deck:tri,taus,number of spanning trees,False,7.991713,4.91599,3.075723
chem_n8,2391,deck:tri,tri,number of triangles,False,2.711663,2.710511,0.001152
chem_n8,2391,deck:tri,wiener,Wiener index,False,5.197528,2.418557,2.77897
