set,source,n,classes,resolved,collision_graphs,collision_rate,largest_class,residual_bits,identity_bits
chemp_n8,deck:energy,2088,2088,True,0,0.0,1,0.0,11.027905996569885
chemp_n8,deck:spectral_radius,2088,2088,True,0,0.0,1,0.0,11.027905996569885
chemp_n8,deck:wiener,2088,2052,False,71,0.034003831417624523,3,0.03484429478072965,11.027905996569885
chemp_n8,graph:n,2088,8,False,2086,0.9990421455938697,1663,10.07165744307548,11.027905996569885
chemp_n8,graph:m,2088,17,False,2084,0.9980842911877394,474,8.138869905117502,11.027905996569885
chemp_n8,graph:deg_seq,2088,196,False,2023,0.9688697318007663,110,4.691684644219724,11.027905996569885
chemp_n8,graph:edge_types,2088,734,False,1742,0.8342911877394636,29,2.0841952698034056,11.027905996569885
chemp_n8,graph:comp_sizes,2088,8,False,2086,0.9990421455938697,1663,10.07165744307548,11.027905996569885
chemp_n8,graph:n_comp,2088,1,False,2088,1.0,2088,11.027905996569885,11.027905996569885
chemp_n8,graph:max_deg,2088,5,False,2086,0.9990421455938697,1789,10.391367914937435,11.027905996569885
chemp_n8,graph:min_deg,2088,5,False,2087,0.9995210727969349,1223,9.873096952059099,11.027905996569885
chemp_n8,graph:n_leaves,2088,7,False,2087,0.9995210727969349,865,9.177211585451786,11.027905996569885
chemp_n8,graph:tri,2088,9,False,2088,1.0,550,8.381899168920887,11.027905996569885
chemp_n8,graph:clique,2088,4,False,2087,0.9995210727969349,1678,10.126888555861136,11.027905996569885
chemp_n8,graph:indep,2088,6,False,2088,1.0,1108,9.605080455972947,11.027905996569885
chemp_n8,graph:chrom,2088,4,False,2087,0.9995210727969349,1724,10.181854252442717,11.027905996569885
chemp_n8,graph:girth,2088,7,False,2087,0.9995210727969349,1818,10.308467890854075,11.027905996569885
chemp_n8,graph:n_bridges,2088,8,False,2088,1.0,827,8.86782791312457,11.027905996569885
chemp_n8,graph:n_cut,2088,7,False,2087,0.9995210727969349,756,8.978362445047548,11.027905996569885
chemp_n8,graph:bipartite,2088,2,False,2088,1.0,1901,10.592908600789217,11.027905996569885
chemp_n8,graph:forest,2088,2,False,2088,1.0,2048,10.891224676147266,11.027905996569885
chemp_n8,graph:biconnected,2088,2,False,2088,1.0,1334,10.084304365270501,11.027905996569885
chemp_n8,graph:diam,2088,8,False,2086,0.9990421455938697,1120,9.45925500598842,11.027905996569885
chemp_n8,graph:ecc_seq,2088,74,False,2071,0.9918582375478927,283,6.310089361861278,11.027905996569885
chemp_n8,graph:dist_dist,2088,333,False,1949,0.9334291187739464,88,3.9317319162734727,11.027905996569885
chemp_n8,graph:max_match,2088,5,False,2087,0.9995210727969349,1447,10.000610539639709,11.027905996569885
chemp_n8,graph:match_poly,2088,695,False,1792,0.8582375478927203,23,2.1120386717692106,11.027905996569885
chemp_n8,graph:n_perfect_match,2088,14,False,2085,0.9985632183908046,572,8.229298931070467,11.027905996569885
chemp_n8,graph:taus,2088,391,False,1937,0.9276819923371648,64,3.473111819383666,11.027905996569885
chemp_n8,graph:sombor,2088,734,False,1742,0.8342911877394636,29,2.0841952698034056,11.027905996569885
chemp_n8,graph:sombor_inv,2088,520,False,1878,0.8994252873563219,55,2.8066828378426356,11.027905996569885
chemp_n8,graph:sombor_sq,2088,151,False,2050,0.9818007662835249,113,4.9293068529417985,11.027905996569885
chemp_n8,graph:sombor_red,2088,698,False,1770,0.8477011494252874,34,2.1691693164028623,11.027905996569885
chemp_n8,graph:randic,2088,512,False,1887,0.9037356321839081,55,2.820608877832481,11.027905996569885
chemp_n8,graph:abc,2088,667,False,1811,0.8673371647509579,29,2.2063196175465123,11.027905996569885
chemp_n8,graph:m1,2088,55,False,2080,0.9961685823754789,126,5.95252739266712,11.027905996569885
chemp_n8,graph:m2,2088,173,False,2068,0.9904214559386973,37,3.9909406504553027,11.027905996569885
chemp_n8,graph:forgotten,2088,151,False,2050,0.9818007662835249,113,4.9293068529417985,11.027905996569885
chemp_n8,graph:harmonic,2088,336,False,1985,0.9506704980842912,55,3.439472391733731,11.027905996569885
chemp_n8,graph:ga,2088,672,False,1790,0.85727969348659,37,2.2387846506695115,11.027905996569885
chemp_n8,graph:sum_conn,2088,653,False,1798,0.8611111111111112,29,2.2733340476155197,11.027905996569885
chemp_n8,graph:isi,2088,655,False,1835,0.8788314176245211,29,2.212469900083307,11.027905996569885
chemp_n8,graph:az,2088,667,False,1810,0.8668582375478927,29,2.2069159357926025,11.027905996569885
chemp_n8,graph:adj_spec,2088,2015,False,145,0.06944444444444445,3,0.07028490780754955,11.027905996569885
chemp_n8,graph:lap_spec,2088,1935,False,288,0.13793103448275862,4,0.15376372127680152,11.027905996569885
chemp_n8,graph:q_spec,2088,1985,False,196,0.09386973180076628,4,0.1027439296039179,11.027905996569885
chemp_n8,graph:adj_charpoly,2088,2015,False,145,0.06944444444444445,3,0.07028490780754955,11.027905996569885
