set,source,n,classes,resolved,collision_graphs,collision_rate,largest_class,residual_bits,identity_bits
chemp_n9,deck:n_leaves,11704,582,False,11552,0.987012987012987,488,6.150619118396243,13.514714054138487
chemp_n9,deck:tri,11704,269,False,11651,0.9954716336295284,515,7.286711420968425,13.514714054138487
chemp_n9,deck:clique,11704,73,False,11692,0.9989747095010253,1745,9.069858636394596,13.514714054138487
chemp_n9,deck:indep,11704,279,False,11641,0.9946172248803827,596,7.262425826694994,13.514714054138487
chemp_n9,deck:chrom,11704,124,False,11681,0.9980348598769652,2114,9.120014130339465,13.514714054138487
chemp_n9,deck:girth,11704,145,False,11665,0.9966678058783321,1914,8.973646023698748,13.514714054138487
chemp_n9,deck:n_bridges,11704,445,False,11634,0.9940191387559809,450,6.139837207427642,13.514714054138487
chemp_n9,deck:n_cut,11704,2064,False,10904,0.9316473000683527,280,4.032155439430781,13.514714054138487
chemp_n9,deck:bipartite,11704,72,False,11693,0.9990601503759399,2303,9.51096147612631,13.514714054138487
chemp_n9,deck:forest,11704,45,False,11692,0.9989747095010253,2722,10.544450299310428,13.514714054138487
chemp_n9,deck:biconnected,11704,112,False,11686,0.9984620642515379,1955,8.9680003514274,13.514714054138487
chemp_n9,deck:diam,11704,1447,False,11090,0.9475393028024607,214,4.773064442720145,13.514714054138487
chemp_n9,deck:ecc_seq,11704,11043,False,1214,0.10372522214627478,6,0.12176279254095397,13.514714054138487
chemp_n9,deck:dist_dist,11704,11456,False,478,0.04084073820915926,5,0.04369644378012319,13.514714054138487
chemp_n9,deck:max_match,11704,70,False,11694,0.9991455912508544,2631,9.753560218746163,13.514714054138487
chemp_n9,deck:match_poly,11704,11703,False,2,0.00017088174982911826,2,0.00017088174982911826,13.514714054138487
chemp_n9,deck:n_perfect_match,11704,263,False,11610,0.9919685577580314,2528,9.67461190149161,13.514714054138487
chemp_n9,deck:taus,11704,4825,False,8316,0.7105263157894737,87,2.26979989714843,13.514714054138487
chemp_n9,deck:sombor,11704,9684,False,3455,0.2951982228298018,10,0.401222371822004,13.514714054138487
chemp_n9,deck:sombor_inv,11704,9684,False,3455,0.2951982228298018,10,0.401222371822004,13.514714054138487
chemp_n9,deck:sombor_sq,11704,1782,False,11145,0.9522385509227614,144,3.7565283254728254,13.514714054138487
chemp_n9,deck:sombor_red,11704,9684,False,3455,0.2951982228298018,10,0.401222371822004,13.514714054138487
chemp_n9,deck:randic,11704,9684,False,3455,0.2951982228298018,10,0.401222371822004,13.514714054138487
chemp_n9,deck:abc,11704,9679,False,3462,0.29579630895420367,10,0.4022702753170902,13.514714054138487
chemp_n9,deck:m1,11704,1513,False,11258,0.9618933697881066,144,3.9940726931898936,13.514714054138487
chemp_n9,deck:m2,11704,9410,False,3871,0.3307416267942584,10,0.4597989510649543,13.514714054138487
chemp_n9,deck:forgotten,11704,1782,False,11145,0.9522385509227614,144,3.7565283254728254,13.514714054138487
chemp_n9,deck:harmonic,11704,9676,False,3464,0.2959671907040328,10,0.40319771490802253,13.514714054138487
chemp_n9,deck:ga,11704,9683,False,3457,0.2953691045796309,10,0.4013932535718331,13.514714054138487
chemp_n9,deck:sum_conn,11704,9678,False,3461,0.29571086807928915,10,0.4027914531597174,13.514714054138487
chemp_n9,deck:isi,11704,9683,False,3457,0.2953691045796309,10,0.4013932535718331,13.514714054138487
chemp_n9,deck:az,11704,9679,False,3462,0.29579630895420367,10,0.4022702753170902,13.514714054138487
chemp_n9,deck:adj_spec,11704,11704,True,0,0.0,1,0.0,13.514714054138487
chemp_n9,deck:lap_spec,11704,11704,True,0,0.0,1,0.0,13.514714054138487
chemp_n9,deck:q_spec,11704,11704,True,0,0.0,1,0.0,13.514714054138487
chemp_n9,deck:adj_charpoly,11704,11704,True,0,0.0,1,0.0,13.514714054138487
chemp_n9,deck:lap_charpoly,11704,11704,True,0,0.0,1,0.0,13.514714054138487
chemp_n9,deck:energy,11704,11703,False,2,0.00017088174982911826,2,0.00017088174982911826,13.514714054138487
chemp_n9,deck:spectral_radius,11704,11703,False,2,0.00017088174982911826,2,0.00017088174982911826,13.514714054138487
chemp_n9,deck:wiener,11704,11368,False,642,0.05485304169514696,5,0.059549902001384,13.514714054138487
chemp_n9,graph:n,11704,9,False,11702,0.9998291182501708,9616,12.66755328219928,13.514714054138487
chemp_n9,graph:m,11704,19,False,11700,0.9996582365003418,2722,10.66738709965074,13.514714054138487
