g6,n,m,W,sum_cards_W,naive_(m-1)W,ratio
G?rF^W,8,14,28.0,408.0,364.0,1.120879
G?rF^[,8,15,27.0,420.0,378.0,1.111111
G?rF^w,8,15,42.0,638.0,588.0,1.085034
G?rF^{,8,16,40.0,648.0,600.0,1.08
G?rF`w,8,12,44.0,568.0,484.0,1.173554
G?rF`{,8,13,43.0,596.0,516.0,1.155039
G?rFdW,8,12,47.0,577.0,517.0,1.116054
G?rFd[,8,13,45.0,596.0,540.0,1.103704
G?rFdo,8,12,46.0,585.0,506.0,1.156126
G?rFds,8,13,45.0,612.0,540.0,1.133333
G?rFdw,8,13,43.0,592.0,516.0,1.147287
G?rFd{,8,14,42.0,617.0,546.0,1.130037
G?rFeW,8,12,50.0,588.0,550.0,1.069091
G?rFe[,8,13,47.0,598.0,564.0,1.060284
G?rFfO,8,12,48.0,585.0,528.0,1.107955
G?rFfS,8,13,46.0,603.0,552.0,1.092391
G?rFfW,8,13,46.0,608.0,552.0,1.101449
G?rFf[,8,14,44.0,622.0,572.0,1.087413
G?rFf_,8,12,48.0,600.0,528.0,1.136364
G?rFfc,8,13,47.0,628.0,564.0,1.113475
G?rFfo,8,13,45.0,610.0,540.0,1.12963
G?rFfs,8,14,44.0,636.0,572.0,1.111888
G?rFfw,8,14,42.0,616.0,546.0,1.128205
G?rFf{,8,15,41.0,638.0,574.0,1.111498
G?rFtw,8,14,42.0,615.0,546.0,1.126374
G?rFt{,8,15,41.0,639.0,574.0,1.11324
G?rFvW,8,14,44.0,623.0,572.0,1.089161
G?rFv[,8,15,42.0,637.0,588.0,1.083333
G?rFvg,8,14,42.0,614.0,546.0,1.124542
G?rFvk,8,15,41.0,638.0,574.0,1.111498
G?rFvo,8,14,44.0,636.0,572.0,1.111888
G?rFvs,8,15,43.0,662.0,602.0,1.099668
G?rFvw,8,15,41.0,638.0,574.0,1.111498
G?rFv{,8,16,40.0,660.0,600.0,1.1
G?rF~w,8,16,40.0,660.0,600.0,1.1
G?rF~{,8,17,39.0,680.0,624.0,1.089744
G?rHx{,8,14,46.0,658.0,598.0,1.100334
G?rH|{,8,15,43.0,664.0,602.0,1.10299
G?rH~W,8,14,45.0,637.0,585.0,1.088889
G?rH~[,8,15,43.0,652.0,602.0,1.083056
G?rH~o,8,14,42.0,618.0,546.0,1.131868
G?rH~s,8,15,41.0,642.0,574.0,1.118467
G?rH~w,8,15,41.0,642.0,574.0,1.118467
G?rH~{,8,16,40.0,664.0,600.0,1.106667
G?rLX{,8,14,45.0,634.0,585.0,1.083761
G?rLY{,8,14,45.0,621.0,585.0,1.061538
G?rLZ[,8,14,28.0,410.0,364.0,1.126374
G?rLZw,8,14,44.0,625.0,572.0,1.092657
G?rLZ{,8,15,42.0,639.0,588.0,1.086735
G?rL[{,8,14,45.0,621.0,585.0,1.061538
G?rL\[,8,14,29.0,420.0,377.0,1.114058
G?rL\{,8,15,43.0,650.0,602.0,1.079734
G?rL]w,8,14,47.0,644.0,611.0,1.05401
G?rL]{,8,15,43.0,639.0,602.0,1.061462
G?rL^[,8,15,27.0,422.0,378.0,1.116402
G?rL^o,8,14,44.0,625.0,572.0,1.092657
G?rL^s,8,15,42.0,639.0,588.0,1.086735
G?rL^w,8,15,42.0,640.0,588.0,1.088435
G?rL^{,8,16,40.0,650.0,600.0,1.083333
G?rL`{,8,13,46.0,626.0,552.0,1.134058
G?rLbW,8,12,50.0,626.0,550.0,1.138182
G?rLb[,8,13,46.0,611.0,552.0,1.106884
G?rLb_,8,11,51.0,610.0,510.0,1.196078
G?rLbc,8,12,48.0,616.0,528.0,1.166667
G?rLbo,8,12,47.0,603.0,517.0,1.166344
G?rLbs,8,13,45.0,615.0,540.0,1.138889
G?rLbw,8,13,44.0,613.0,528.0,1.160985
G?rLb{,8,14,42.0,621.0,546.0,1.137363
G?rLd[,8,13,49.0,640.0,588.0,1.088435
G?rLd_,8,11,55.0,642.0,550.0,1.167273
G?rLdc,8,12,54.0,674.0,594.0,1.13468
G?rLdo,8,12,49.0,623.0,539.0,1.155844
G?rLds,8,13,48.0,651.0,576.0,1.130208
G?rLdw,8,13,46.0,631.0,552.0,1.143116
G?rLd{,8,14,45.0,654.0,585.0,1.117949
G?rLeW,8,12,55.0,602.0,605.0,0.995041
G?rLe[,8,13,49.0,626.0,588.0,1.064626
G?rLfW,8,13,49.0,653.0,588.0,1.110544
G?rLf[,8,14,45.0,640.0,585.0,1.094017
G?rLf_,8,12,49.0,621.0,539.0,1.152134
G?rLfc,8,13,47.0,637.0,564.0,1.129433
G?rLfo,8,13,46.0,631.0,552.0,1.143116
G?rLfs,8,14,44.0,642.0,572.0,1.122378
G?rLfw,8,14,43.0,639.0,559.0,1.143113
G?rLf{,8,15,41.0,644.0,574.0,1.121951
G?rLp{,8,14,44.0,640.0,572.0,1.118881
G?rLrW,8,13,46.0,610.0,552.0,1.105072
G?rLr[,8,14,44.0,624.0,572.0,1.090909
G?rLrg,8,13,43.0,596.0,516.0,1.155039
G?rLrk,8,14,42.0,618.0,546.0,1.131868
G?rLro,8,13,45.0,614.0,540.0,1.137037
G?rLrs,8,14,44.0,638.0,572.0,1.115385
G?rLrw,8,14,42.0,620.0,546.0,1.135531
G?rLr{,8,15,41.0,642.0,574.0,1.118467
G?rLt[,8,14,45.0,638.0,585.0,1.090598
G?rLtg,8,13,45.0,614.0,540.0,1.137037
G?rLtk,8,14,44.0,642.0,572.0,1.122378
G?rLto,8,13,47.0,634.0,564.0,1.124113
G?rLts,8,14,46.0,664.0,598.0,1.110368
G?rLtw,8,14,44.0,640.0,572.0,1.118881
G?rLt{,8,15,43.0,666.0,602.0,1.106312
G?rLvW,8,14,45.0,641.0,585.0,1.095726
G?rLv[,8,15,43.0,652.0,602.0,1.083056
G?rLvg,8,14,42.0,620.0,546.0,1.135531
G?rLvk,8,15,41.0,642.0,574.0,1.118467
G?rLvo,8,14,44.0,640.0,572.0,1.118881
G?rLvs,8,15,43.0,664.0,602.0,1.10299
G?rLvw,8,15,41.0,644.0,574.0,1.121951
G?rLv{,8,16,40.0,664.0,600.0,1.106667
G?rLzw,8,15,41.0,642.0,574.0,1.118467
G?rLz{,8,16,40.0,664.0,600.0,1.106667
G?rL|w,8,15,43.0,664.0,602.0,1.10299
G?rL|{,8,16,42.0,688.0,630.0,1.092063
G?rL~w,8,16,40.0,664.0,600.0,1.106667
G?rL~{,8,17,39.0,684.0,624.0,1.096154
G?rMX{,8,14,46.0,632.0,598.0,1.056856
G?rM\[,8,14,29.0,411.0,377.0,1.090186
G?rM\w,8,14,46.0,632.0,598.0,1.056856
G?rM\{,8,15,43.0,638.0,602.0,1.059801
G?rM][,8,14,16.0,238.0,208.0,1.144231
G?rM^[,8,15,27.0,413.0,378.0,1.092593
G?rM^w,8,15,43.0,638.0,602.0,1.059801
G?rM^{,8,16,40.0,638.0,600.0,1.063333
G?rN\w,8,15,43.0,653.0,602.0,1.084718
G?rN\{,8,16,41.0,664.0,615.0,1.079675
G?rN]w,8,15,45.0,664.0,630.0,1.053968
G?rN]{,8,16,41.0,653.0,615.0,1.061789
G?rN^W,8,15,27.0,422.0,378.0,1.116402
G?rN^[,8,16,26.0,432.0,390.0,1.107692
G?rN^w,8,16,41.0,665.0,615.0,1.081301
G?rN^{,8,17,39.0,672.0,624.0,1.076923
G?rN`w,8,13,43.0,594.0,516.0,1.151163
G?rN`{,8,14,42.0,620.0,546.0,1.135531
G?rNdW,8,13,46.0,610.0,552.0,1.105072
G?rNd[,8,14,44.0,626.0,572.0,1.094406
G?rNdo,8,13,45.0,614.0,540.0,1.137037
G?rNds,8,14,44.0,639.0,572.0,1.117133
G?rNdw,8,14,42.0,620.0,546.0,1.135531
G?rNd{,8,15,41.0,643.0,574.0,1.120209
G?rNeW,8,13,49.0,626.0,588.0,1.064626
G?rNe[,8,14,46.0,632.0,598.0,1.056856
G?rNfW,8,14,45.0,641.0,585.0,1.095726
G?rNf[,8,15,43.0,652.0,602.0,1.083056
G?rNf_,8,13,47.0,632.0,564.0,1.120567
G?rNfc,8,14,46.0,658.0,598.0,1.100334
G?rNfo,8,14,44.0,640.0,572.0,1.118881
G?rNfs,8,15,43.0,664.0,602.0,1.10299
G?rNfw,8,15,41.0,644.0,574.0,1.121951
G?rNf{,8,16,40.0,664.0,600.0,1.106667
G?rNtw,8,15,41.0,642.0,574.0,1.118467
G?rNt{,8,16,40.0,664.0,600.0,1.106667
G?rNvW,8,15,43.0,653.0,602.0,1.084718
G?rNv[,8,16,41.0,664.0,615.0,1.079675
G?rNvg,8,15,41.0,642.0,574.0,1.118467
G?rNvk,8,16,40.0,664.0,600.0,1.106667
G?rNvo,8,15,43.0,664.0,602.0,1.10299
G?rNvs,8,16,42.0,688.0,630.0,1.092063
G?rNvw,8,16,40.0,664.0,600.0,1.106667
G?rNv{,8,17,39.0,684.0,624.0,1.096154
G?rN~w,8,17,39.0,684.0,624.0,1.096154
G?rN~{,8,18,38.0,702.0,646.0,1.086687
G?r`ps,8,12,47.0,601.0,517.0,1.162476
G?r`p{,8,13,45.0,612.0,540.0,1.133333
G?r`s{,8,13,44.0,603.0,528.0,1.142045
G?r`t[,8,13,46.0,605.0,552.0,1.096014
G?r`tg,8,12,45.0,580.0,495.0,1.171717
G?r`tk,8,13,44.0,603.0,528.0,1.142045
G?r`ts,8,13,45.0,613.0,540.0,1.135185
G?r`tw,8,13,44.0,603.0,528.0,1.142045
G?r`t{,8,14,43.0,626.0,559.0,1.119857
G?r`u[,8,13,46.0,606.0,552.0,1.097826
G?r`ug,8,12,44.0,578.0,484.0,1.194215
G?r`uk,8,13,43.0,593.0,516.0,1.149225
G?r`uo,8,12,46.0,593.0,506.0,1.171937
G?r`us,8,13,44.0,608.0,528.0,1.151515
G?r`uw,8,13,43.0,601.0,516.0,1.164729
G?r`u{,8,14,42.0,618.0,546.0,1.131868
G?r`vG,8,12,48.0,600.0,528.0,1.136364
G?r`vK,8,13,46.0,603.0,552.0,1.092391
G?r`vO,8,12,48.0,592.0,528.0,1.121212
G?r`vS,8,13,46.0,604.0,552.0,1.094203
G?r`vW,8,13,47.0,624.0,564.0,1.106383
G?r`v[,8,14,45.0,630.0,585.0,1.076923
G?r`v_,8,12,45.0,579.0,495.0,1.169697
G?r`vc,8,13,44.0,603.0,528.0,1.142045
G?r`vg,8,13,43.0,595.0,516.0,1.153101
G?r`vk,8,14,42.0,615.0,546.0,1.126374
G?r`vo,8,13,44.0,603.0,528.0,1.142045
G?r`vs,8,14,43.0,625.0,559.0,1.118068
G?r`vw,8,14,42.0,618.0,546.0,1.131868
G?r`v{,8,15,41.0,636.0,574.0,1.108014
G?r`x{,8,14,44.0,638.0,572.0,1.115385
G?r`|w,8,14,43.0,625.0,559.0,1.118068
G?r`|{,8,15,42.0,651.0,588.0,1.107143
G?r`}w,8,14,42.0,619.0,546.0,1.1337
G?r`}{,8,15,41.0,642.0,574.0,1.118467
G?r`~W,8,14,45.0,632.0,585.0,1.080342
G?r`~[,8,15,43.0,648.0,602.0,1.076412
G?r`~g,8,14,42.0,615.0,546.0,1.126374
G?r`~k,8,15,41.0,641.0,574.0,1.116725
G?r`~o,8,14,42.0,614.0,546.0,1.124542
G?r`~s,8,15,41.0,638.0,574.0,1.111498
G?r`~w,8,15,41.0,637.0,574.0,1.109756
G?r`~{,8,16,40.0,660.0,600.0,1.1
G?rcps,8,12,46.0,593.0,506.0,1.171937
G?rcp{,8,13,44.0,604.0,528.0,1.143939
G?rcqs,8,12,50.0,611.0,550.0,1.110909
G?rcq{,8,13,46.0,607.0,552.0,1.099638
G?rcr[,8,13,46.0,606.0,552.0,1.097826
G?rcrg,8,12,46.0,594.0,506.0,1.173913
G?rcrk,8,13,44.0,601.0,528.0,1.138258
G?rcro,8,12,46.0,588.0,506.0,1.162055
G?rcrs,8,13,44.0,604.0,528.0,1.143939
G?rcrw,8,13,44.0,605.0,528.0,1.145833
G?rcr{,8,14,42.0,617.0,546.0,1.130037
G?rcss,8,12,51.0,627.0,561.0,1.117647
G?rcs{,8,13,47.0,619.0,564.0,1.097518
G?rct[,8,13,46.0,611.0,552.0,1.106884
G?rctg,8,12,47.0,598.0,517.0,1.156673
G?rctk,8,13,45.0,615.0,540.0,1.138889
G?rcts,8,13,45.0,619.0,540.0,1.146296
G?rctw,8,13,45.0,615.0,540.0,1.138889
G?rct{,8,14,43.0,630.0,559.0,1.127013
G?rcu[,8,13,49.0,620.0,588.0,1.054422
G?rcuk,8,13,46.0,606.0,552.0,1.097826
G?rcus,8,13,49.0,643.0,588.0,1.093537
G?rcuw,8,13,46.0,611.0,552.0,1.106884
G?rcu{,8,14,45.0,636.0,585.0,1.087179
G?rcvG,8,12,51.0,622.0,561.0,1.108734
G?rcvK,8,13,47.0,615.0,564.0,1.090426
G?rcvO,8,12,50.0,609.0,550.0,1.107273
G?rcvS,8,13,46.0,611.0,552.0,1.106884
G?rcvW,8,13,49.0,643.0,588.0,1.093537
G?rcv[,8,14,45.0,636.0,585.0,1.087179
G?rcv_,8,12,47.0,597.0,517.0,1.154739
G?rcvc,8,13,45.0,615.0,540.0,1.138889
G?rcvg,8,13,45.0,614.0,540.0,1.137037
G?rcvk,8,14,43.0,627.0,559.0,1.121646
G?rcvo,8,13,45.0,616.0,540.0,1.140741
G?rcvs,8,14,43.0,631.0,559.0,1.128801
G?rcvw,8,14,43.0,631.0,559.0,1.128801
G?rcv{,8,15,41.0,640.0,574.0,1.114983
G?rcx{,8,14,43.0,628.0,559.0,1.123435
G?rcy{,8,14,44.0,622.0,572.0,1.087413
G?rczw,8,14,42.0,616.0,546.0,1.128205
G?rcz{,8,15,41.0,640.0,574.0,1.114983
G?rc{{,8,14,45.0,635.0,585.0,1.08547
G?rc|w,8,14,43.0,628.0,559.0,1.123435
G?rc|{,8,15,42.0,653.0,588.0,1.110544
G?rc}{,8,15,43.0,650.0,602.0,1.079734
G?rc~W,8,14,45.0,636.0,585.0,1.087179
G?rc~[,8,15,43.0,650.0,602.0,1.079734
G?rc~g,8,14,43.0,627.0,559.0,1.121646
G?rc~k,8,15,42.0,652.0,588.0,1.108844
G?rc~o,8,14,42.0,617.0,546.0,1.130037
G?rc~s,8,15,41.0,641.0,574.0,1.116725
G?rc~w,8,15,41.0,640.0,574.0,1.114983
G?rc~{,8,16,40.0,662.0,600.0,1.103333
G?rdQs,8,12,47.0,578.0,517.0,1.117988
G?rdQ{,8,13,45.0,593.0,540.0,1.098148
G?rdRS,8,12,30.0,375.0,330.0,1.136364
G?rdR[,8,13,29.0,391.0,348.0,1.123563
G?rdRg,8,12,47.0,581.0,517.0,1.123791
G?rdRs,8,13,45.0,589.0,540.0,1.090741
G?rdRw,8,13,45.0,590.0,540.0,1.092593
G?rdR{,8,14,43.0,607.0,559.0,1.085868
G?rdSs,8,12,47.0,585.0,517.0,1.131528
G?rdS{,8,13,45.0,596.0,540.0,1.103704
G?rdU[,8,13,29.0,396.0,348.0,1.137931
G?rdUg,8,12,47.0,579.0,517.0,1.119923
G?rdUk,8,13,45.0,593.0,540.0,1.098148
G?rdUs,8,13,45.0,598.0,540.0,1.107407
G?rdUw,8,13,45.0,598.0,540.0,1.107407
G?rdU{,8,14,43.0,612.0,559.0,1.094812
G?rdVG,8,12,30.0,378.0,330.0,1.145455
G?rdVS,8,13,29.0,393.0,348.0,1.12931
G?rdVW,8,13,29.0,393.0,348.0,1.12931
G?rdV[,8,14,28.0,406.0,364.0,1.115385
G?rdV_,8,12,47.0,577.0,517.0,1.116054
G?rdVg,8,13,45.0,592.0,540.0,1.096296
G?rdVo,8,13,45.0,594.0,540.0,1.1
G?rdVs,8,14,43.0,609.0,559.0,1.089445
G?rdVw,8,14,43.0,609.0,559.0,1.089445
G?rdV{,8,15,41.0,622.0,574.0,1.083624
G?rdX{,8,14,44.0,622.0,572.0,1.087413
G?rdY{,8,14,44.0,622.0,572.0,1.087413
G?rdZ[,8,14,28.0,406.0,364.0,1.115385
G?rdZw,8,14,44.0,618.0,572.0,1.08042
G?rdZ{,8,15,42.0,635.0,588.0,1.079932
G?rd[{,8,14,44.0,624.0,572.0,1.090909
G?rd\[,8,14,28.0,410.0,364.0,1.126374
G?rd\w,8,14,44.0,622.0,572.0,1.087413
G?rd\{,8,15,42.0,639.0,588.0,1.086735
G?rd]w,8,14,44.0,626.0,572.0,1.094406
G?rd]{,8,15,42.0,639.0,588.0,1.086735
G?rd^W,8,14,28.0,406.0,364.0,1.115385
G?rd^[,8,15,27.0,420.0,378.0,1.111111
G?rd^g,8,14,44.0,621.0,572.0,1.085664
G?rd^k,8,15,42.0,638.0,588.0,1.085034
G?rd^o,8,14,44.0,621.0,572.0,1.085664
G?rd^s,8,15,42.0,636.0,588.0,1.081633
G?rd^w,8,15,42.0,635.0,588.0,1.079932
G?rd^{,8,16,40.0,648.0,600.0,1.08
G?rd`o,8,11,48.0,570.0,480.0,1.1875
G?rd`s,8,12,47.0,598.0,517.0,1.156673
G?rd`w,8,12,46.0,586.0,506.0,1.158103
G?rd`{,8,13,45.0,615.0,540.0,1.138889
G?rdao,8,11,49.0,583.0,490.0,1.189796
G?rdas,8,12,46.0,587.0,506.0,1.160079
G?rdaw,8,12,46.0,593.0,506.0,1.171937
G?rda{,8,13,44.0,604.0,528.0,1.143939
G?rdbO,8,11,51.0,576.0,510.0,1.129412
G?rdbS,8,12,47.0,574.0,517.0,1.110251
G?rdbW,8,12,50.0,611.0,550.0,1.110909
G?rdb[,8,13,46.0,607.0,552.0,1.099638
G?rdb_,8,11,50.0,588.0,500.0,1.176
G?rdbc,8,12,47.0,597.0,517.0,1.154739
G?rdbg,8,12,47.0,598.0,517.0,1.156673
G?rdbk,8,13,45.0,614.0,540.0,1.137037
G?rdbo,8,12,46.0,586.0,506.0,1.158103
G?rdbs,8,13,44.0,600.0,528.0,1.136364
G?rdbw,8,13,44.0,604.0,528.0,1.143939
G?rdb{,8,14,42.0,617.0,546.0,1.130037
G?rdco,8,11,50.0,588.0,500.0,1.176
G?rdcs,8,12,48.0,611.0,528.0,1.157197
G?rdcw,8,12,47.0,598.0,517.0,1.156673
G?rdc{,8,13,46.0,626.0,552.0,1.134058
G?rddS,8,12,49.0,595.0,539.0,1.103896
G?rddW,8,12,50.0,609.0,550.0,1.107273
G?rdd[,8,13,48.0,628.0,576.0,1.090278
G?rddc,8,12,51.0,641.0,561.0,1.142602
G?rddg,8,12,48.0,612.0,528.0,1.159091
G?rddk,8,13,47.0,643.0,564.0,1.140071
G?rddo,8,12,47.0,598.0,517.0,1.156673
G?rdds,8,13,46.0,626.0,552.0,1.134058
G?rddw,8,13,45.0,615.0,540.0,1.138889
G?rdd{,8,14,44.0,641.0,572.0,1.120629
G?rdeW,8,12,51.0,627.0,561.0,1.117647
G?rde[,8,13,47.0,619.0,564.0,1.097518
G?rdeg,8,12,47.0,599.0,517.0,1.158607
G?rdek,8,13,45.0,614.0,540.0,1.137037
G?rdeo,8,12,48.0,610.0,528.0,1.155303
G?rdes,8,13,45.0,615.0,540.0,1.138889
G?rdew,8,13,45.0,619.0,540.0,1.146296
G?rde{,8,14,43.0,630.0,559.0,1.127013
G?rdfG,8,12,51.0,621.0,561.0,1.106952
G?rdfK,8,13,47.0,620.0,564.0,1.099291
G?rdfO,8,12,50.0,609.0,550.0,1.107273
G?rdfS,8,13,46.0,606.0,552.0,1.097826
G?rdfW,8,13,49.0,643.0,588.0,1.093537
G?rdf[,8,14,45.0,636.0,585.0,1.087179
G?rdf_,8,12,48.0,608.0,528.0,1.151515
G?rdfc,8,13,46.0,624.0,552.0,1.130435
G?rdfg,8,13,46.0,626.0,552.0,1.134058
G?rdfk,8,14,44.0,640.0,572.0,1.118881
G?rdfo,8,13,45.0,615.0,540.0,1.138889
G?rdfs,8,14,43.0,627.0,559.0,1.121646
G?rdfw,8,14,43.0,631.0,559.0,1.128801
G?rdf{,8,15,41.0,640.0,574.0,1.114983
G?rdh{,8,14,43.0,630.0,559.0,1.127013
G?rdiw,8,13,44.0,604.0,528.0,1.143939
G?rdi{,8,14,43.0,627.0,559.0,1.121646
G?rdjW,8,13,46.0,608.0,552.0,1.101449
G?rdj[,8,14,44.0,621.0,572.0,1.085664
G?rdjg,8,13,45.0,614.0,540.0,1.137037
G?rdjk,8,14,44.0,640.0,572.0,1.118881
G?rdjw,8,14,42.0,617.0,546.0,1.130037
G?rdj{,8,15,41.0,639.0,574.0,1.11324
G?rdk{,8,14,44.0,641.0,572.0,1.120629
G?rdl[,8,14,44.0,628.0,572.0,1.097902
G?rdlg,8,13,46.0,629.0,552.0,1.139493
G?rdlk,8,14,45.0,660.0,585.0,1.128205
G?rdlw,8,14,43.0,630.0,559.0,1.127013
G?rdl{,8,15,42.0,655.0,588.0,1.113946
G?rdmw,8,14,43.0,632.0,559.0,1.13059
G?rdm{,8,15,42.0,653.0,588.0,1.110544
G?rdnW,8,14,45.0,640.0,585.0,1.094017
G?rdn[,8,15,43.0,650.0,602.0,1.079734
G?rdng,8,14,44.0,640.0,572.0,1.118881
G?rdnk,8,15,43.0,666.0,602.0,1.106312
G?rdno,8,14,42.0,618.0,546.0,1.131868
G?rdns,8,15,41.0,639.0,574.0,1.11324
G?rdnw,8,15,41.0,642.0,574.0,1.118467
G?rdn{,8,16,40.0,662.0,600.0,1.103333
G?rdpw,8,13,44.0,600.0,528.0,1.136364
G?rdp{,8,14,43.0,627.0,559.0,1.121646
G?rdqw,8,13,43.0,593.0,516.0,1.149225
G?rdq{,8,14,42.0,617.0,546.0,1.130037
G?rdrW,8,13,46.0,604.0,552.0,1.094203
G?rdr[,8,14,44.0,619.0,572.0,1.082168
G?rdrg,8,13,43.0,593.0,516.0,1.149225
G?rdrk,8,14,42.0,614.0,546.0,1.124542
G?rdro,8,13,44.0,600.0,528.0,1.136364
G?rdrs,8,14,43.0,623.0,559.0,1.11449
G?rdrw,8,14,42.0,614.0,546.0,1.124542
G?rdr{,8,15,41.0,637.0,574.0,1.109756
G?rdsw,8,13,44.0,603.0,528.0,1.142045
G?rds{,8,14,43.0,630.0,559.0,1.127013
G?rdt[,8,14,44.0,626.0,572.0,1.094406
G?rdtg,8,13,44.0,604.0,528.0,1.143939
G?rdtk,8,14,43.0,630.0,559.0,1.127013
G?rdto,8,13,45.0,613.0,540.0,1.135185
G?rdts,8,14,44.0,641.0,572.0,1.120629
G?rdtw,8,14,43.0,627.0,559.0,1.121646
G?rdt{,8,15,42.0,653.0,588.0,1.110544
G?rduw,8,14,42.0,620.0,546.0,1.135531
G?rdu{,8,15,41.0,642.0,574.0,1.118467
G?rdvW,8,14,45.0,636.0,585.0,1.087179
G?rdv[,8,15,43.0,648.0,602.0,1.076412
G?rdvg,8,14,42.0,616.0,546.0,1.128205
G?rdvk,8,15,41.0,639.0,574.0,1.11324
G?rdvo,8,14,43.0,627.0,559.0,1.121646
G?rdvs,8,15,42.0,650.0,588.0,1.105442
G?rdvw,8,15,41.0,639.0,574.0,1.11324
G?rdv{,8,16,40.0,660.0,600.0,1.1
G?rdzw,8,15,41.0,636.0,574.0,1.108014
G?rdz{,8,16,40.0,660.0,600.0,1.1
G?rd|w,8,15,42.0,651.0,588.0,1.107143
G?rd|{,8,16,41.0,676.0,615.0,1.099187
G?rd~w,8,16,40.0,660.0,600.0,1.1
G?rd~{,8,17,39.0,682.0,624.0,1.092949
G?rePs,8,12,47.0,582.0,517.0,1.125725
G?reP{,8,13,45.0,596.0,540.0,1.103704
G?reSs,8,12,51.0,604.0,561.0,1.076649
G?reS{,8,13,47.0,601.0,564.0,1.065603
G?reTS,8,12,30.0,382.0,330.0,1.157576
G?reT[,8,13,29.0,397.0,348.0,1.140805
G?reT_,8,11,53.0,600.0,530.0,1.132075
G?reTg,8,12,49.0,602.0,539.0,1.116883
G?reTo,8,12,48.0,587.0,528.0,1.111742
G?reTs,8,13,45.0,597.0,540.0,1.105556
G?reTw,8,13,46.0,604.0,552.0,1.094203
G?reT{,8,14,43.0,613.0,559.0,1.096601
G?reUS,8,12,33.0,399.0,363.0,1.099174
G?reU[,8,13,31.0,405.0,372.0,1.08871
G?reUg,8,12,49.0,573.0,539.0,1.06308
G?reUs,8,13,49.0,624.0,588.0,1.061224
G?reUw,8,13,47.0,599.0,564.0,1.062057
G?reU{,8,14,45.0,621.0,585.0,1.061538
G?reVG,8,12,32.0,396.0,352.0,1.125
G?reVS,8,13,29.0,398.0,348.0,1.143678
G?reVW,8,13,30.0,405.0,360.0,1.125
G?reV[,8,14,28.0,410.0,364.0,1.126374
G?reV_,8,12,49.0,595.0,539.0,1.103896
G?reVg,8,13,47.0,612.0,564.0,1.085106
G?reVo,8,13,46.0,606.0,552.0,1.097826
G?reVs,8,14,43.0,615.0,559.0,1.100179
G?reVw,8,14,44.0,622.0,572.0,1.087413
G?reV{,8,15,41.0,626.0,574.0,1.090592
G?reX{,8,14,44.0,624.0,572.0,1.090909
G?re[{,8,14,45.0,621.0,585.0,1.061538
G?re\[,8,14,28.0,410.0,364.0,1.126374
G?re\g,8,13,47.0,622.0,564.0,1.102837
G?re\k,8,14,45.0,634.0,585.0,1.083761
G?re\o,8,13,46.0,610.0,552.0,1.105072
G?re\s,8,14,44.0,625.0,572.0,1.092657
G?re\w,8,14,44.0,624.0,572.0,1.090909
G?re\{,8,15,42.0,639.0,588.0,1.086735
G?re][,8,14,29.0,411.0,377.0,1.090186
G?re]w,8,14,45.0,621.0,585.0,1.061538
G?re]{,8,15,43.0,639.0,602.0,1.061462
G?re^W,8,14,28.0,410.0,364.0,1.126374
G?re^[,8,15,27.0,422.0,378.0,1.116402
G?re^g,8,14,45.0,634.0,585.0,1.083761
G?re^k,8,15,43.0,650.0,602.0,1.079734
G?re^o,8,14,44.0,625.0,572.0,1.092657
G?re^s,8,15,42.0,640.0,588.0,1.088435
G?re^w,8,15,42.0,639.0,588.0,1.086735
G?re^{,8,16,40.0,650.0,600.0,1.083333
G?re`o,8,11,47.0,568.0,470.0,1.208511
G?re`w,8,12,45.0,582.0,495.0,1.175758
G?re`{,8,13,43.0,597.0,516.0,1.156977
G?redO,8,11,51.0,574.0,510.0,1.12549
G?redS,8,12,47.0,577.0,517.0,1.116054
G?redW,8,12,50.0,609.0,550.0,1.107273
G?red[,8,13,46.0,609.0,552.0,1.103261
G?redg,8,12,47.0,597.0,517.0,1.154739
G?redk,8,13,45.0,614.0,540.0,1.137037
G?redo,8,12,46.0,587.0,506.0,1.160079
G?redw,8,13,44.0,604.0,528.0,1.143939
G?red{,8,14,42.0,619.0,546.0,1.1337
G?reeO,8,11,53.0,568.0,530.0,1.071698
G?reeW,8,12,51.0,596.0,561.0,1.062389
G?ree[,8,13,49.0,620.0,588.0,1.054422
G?refG,8,12,51.0,613.0,561.0,1.092692
G?refK,8,13,47.0,616.0,564.0,1.092199
G?refO,8,12,50.0,605.0,550.0,1.1
G?refS,8,13,46.0,607.0,552.0,1.099638
G?refW,8,13,49.0,639.0,588.0,1.086735
G?ref[,8,14,45.0,636.0,585.0,1.087179
G?refg,8,13,46.0,622.0,552.0,1.126812
G?refk,8,14,44.0,638.0,572.0,1.115385
G?refo,8,13,45.0,614.0,540.0,1.137037
G?refw,8,14,43.0,629.0,559.0,1.125224
G?ref{,8,15,41.0,640.0,574.0,1.114983
G?reh{,8,14,42.0,619.0,546.0,1.1337
G?rel[,8,14,44.0,623.0,572.0,1.089161
G?relk,8,14,44.0,640.0,572.0,1.118881
G?relo,8,13,43.0,593.0,516.0,1.149225
G?relw,8,14,42.0,617.0,546.0,1.130037
G?rel{,8,15,41.0,641.0,574.0,1.116725
G?rem[,8,14,45.0,621.0,585.0,1.061538
G?ren[,8,15,43.0,650.0,602.0,1.079734
G?renk,8,15,43.0,664.0,602.0,1.10299
