set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_m4_n9,14592,deck:n_cut,ds,degree sequence of G,False,6.374577,5.58049,0.794086
chem_m4_n9,14592,deck:n_cut,ds_sig,multiset of degree sequences of the cards,False,9.616145,7.281149,2.334997
chem_m4_n9,14592,deck:n_cut,et,multiset of edge degree-types of G,False,9.616145,7.281149,2.334997
chem_m4_n9,14592,deck:n_cut,so,Sombor index SO(G),False,9.611338,7.276342,2.334997
chem_m4_n9,14592,deck:n_cut,dd,multiset {Delta_e},False,13.22393,8.80189,4.42204
chem_m4_n9,14592,deck:n_cut,taus,number of spanning trees,False,9.676542,6.003982,3.67256
chem_m4_n9,14592,deck:n_cut,tri,number of triangles,False,2.685662,1.205804,1.479858
chem_m4_n9,14592,deck:n_cut,wiener,Wiener index,False,5.43239,3.283742,2.148648
chem_m4_n9,14592,deck:n_cut,n,order n,False,0.788366,0.599973,0.188393
chem_m4_n9,14592,deck:n_cut,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:n_cut,C,Sombor deletion correction C(G),False,9.616145,7.281149,2.334997
chem_m4_n9,14592,deck:diam,ds,degree sequence of G,False,6.374577,4.499421,1.875156
chem_m4_n9,14592,deck:diam,ds_sig,multiset of degree sequences of the cards,False,9.616145,5.989354,3.626792
chem_m4_n9,14592,deck:diam,et,multiset of edge degree-types of G,False,9.616145,5.989354,3.626792
chem_m4_n9,14592,deck:diam,so,Sombor index SO(G),False,9.611338,5.984547,3.626792
chem_m4_n9,14592,deck:diam,dd,multiset {Delta_e},False,13.22393,8.209295,5.014636
chem_m4_n9,14592,deck:diam,taus,number of spanning trees,False,9.676542,5.104653,4.571889
chem_m4_n9,14592,deck:diam,tri,number of triangles,False,2.685662,0.890873,1.794788
chem_m4_n9,14592,deck:diam,wiener,Wiener index,False,5.43239,3.413592,2.018799
chem_m4_n9,14592,deck:diam,n,order n,False,0.788366,0.621713,0.166653
chem_m4_n9,14592,deck:diam,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:diam,C,Sombor deletion correction C(G),False,9.616145,5.989354,3.626792
chem_m4_n9,14592,deck:dist_dist,ds,degree sequence of G,False,6.374577,6.33563,0.038947
chem_m4_n9,14592,deck:dist_dist,ds_sig,multiset of degree sequences of the cards,False,9.616145,9.555871,0.060274
chem_m4_n9,14592,deck:dist_dist,et,multiset of edge degree-types of G,False,9.616145,9.555871,0.060274
chem_m4_n9,14592,deck:dist_dist,so,Sombor index SO(G),False,9.611338,9.551064,0.060274
chem_m4_n9,14592,deck:dist_dist,dd,multiset {Delta_e},False,13.22393,13.144139,0.079791
chem_m4_n9,14592,deck:dist_dist,taus,number of spanning trees,False,9.676542,9.599218,0.077324
chem_m4_n9,14592,deck:dist_dist,tri,number of triangles,False,2.685662,2.640989,0.044673
chem_m4_n9,14592,deck:dist_dist,wiener,Wiener index,True,5.43239,5.43239,0.0
chem_m4_n9,14592,deck:dist_dist,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:dist_dist,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:dist_dist,C,Sombor deletion correction C(G),False,9.616145,9.555871,0.060274
chem_m4_n9,14592,deck:match_poly,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:match_poly,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:match_poly,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:match_poly,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:match_poly,dd,multiset {Delta_e},True,13.22393,13.22393,0.0
chem_m4_n9,14592,deck:match_poly,taus,number of spanning trees,True,9.676542,9.676542,0.0
chem_m4_n9,14592,deck:match_poly,tri,number of triangles,True,2.685662,2.685662,0.0
chem_m4_n9,14592,deck:match_poly,wiener,Wiener index,True,5.43239,5.43239,0.0
chem_m4_n9,14592,deck:match_poly,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:match_poly,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:match_poly,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:taus,ds,degree sequence of G,False,6.374577,5.454144,0.920433
chem_m4_n9,14592,deck:taus,ds_sig,multiset of degree sequences of the cards,False,9.616145,7.908608,1.707537
chem_m4_n9,14592,deck:taus,et,multiset of edge degree-types of G,False,9.616145,7.908608,1.707537
chem_m4_n9,14592,deck:taus,so,Sombor index SO(G),False,9.611338,7.903801,1.707537
chem_m4_n9,14592,deck:taus,dd,multiset {Delta_e},False,13.22393,11.298368,1.925563
chem_m4_n9,14592,deck:taus,taus,number of spanning trees,True,9.676542,9.676542,0.0
chem_m4_n9,14592,deck:taus,tri,number of triangles,False,2.685662,2.683407,0.002254
chem_m4_n9,14592,deck:taus,wiener,Wiener index,False,5.43239,4.132129,1.300261
chem_m4_n9,14592,deck:taus,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:taus,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:taus,C,Sombor deletion correction C(G),False,9.616145,7.908608,1.707537
chem_m4_n9,14592,deck:sombor,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:sombor,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:sombor,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:sombor,so,Sombor index SO(G),True,9.611338,9.611338,0.0
chem_m4_n9,14592,deck:sombor,dd,multiset {Delta_e},True,13.22393,13.22393,0.0
chem_m4_n9,14592,deck:sombor,taus,number of spanning trees,False,9.676542,9.070871,0.60567
chem_m4_n9,14592,deck:sombor,tri,number of triangles,False,2.685662,2.234319,0.451342
chem_m4_n9,14592,deck:sombor,wiener,Wiener index,False,5.43239,5.007925,0.424465
chem_m4_n9,14592,deck:sombor,n,order n,True,0.788366,0.788366,0.0
chem_m4_n9,14592,deck:sombor,m,size m,True,2.965544,2.965544,0.0
chem_m4_n9,14592,deck:sombor,C,Sombor deletion correction C(G),True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:sombor_inv,ds,degree sequence of G,True,6.374577,6.374577,0.0
chem_m4_n9,14592,deck:sombor_inv,ds_sig,multiset of degree sequences of the cards,True,9.616145,9.616145,0.0
chem_m4_n9,14592,deck:sombor_inv,et,multiset of edge degree-types of G,True,9.616145,9.616145,0.0
