set,n_graphs,signature,target,target_desc,determined,H_target,I_signature_target,H_target_given_signature
chem_n9,14598,deck:n_bridges,wiener,Wiener index,False,5.436299,2.434243,3.002056
chem_n9,14598,deck:n_bridges,n,order n,False,0.793669,0.640583,0.153086
chem_n9,14598,deck:n_bridges,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:n_bridges,C,Sombor deletion correction C(G),False,9.618334,6.250845,3.367489
chem_n9,14598,deck:n_cut,ds,degree sequence of G,False,6.378235,5.584338,0.793897
chem_n9,14598,deck:n_cut,ds_sig,multiset of degree sequences of the cards,False,9.618471,7.284298,2.334174
chem_n9,14598,deck:n_cut,et,multiset of edge degree-types of G,False,9.618471,7.284298,2.334174
chem_n9,14598,deck:n_cut,so,Sombor index SO(G),False,9.613666,7.279493,2.334174
chem_n9,14598,deck:n_cut,dd,multiset {Delta_e},False,13.224774,8.804414,4.420359
chem_n9,14598,deck:n_cut,taus,number of spanning trees,False,9.675644,6.004457,3.671187
chem_n9,14598,deck:n_cut,tri,number of triangles,False,2.68594,1.206553,1.479387
chem_n9,14598,deck:n_cut,wiener,Wiener index,False,5.436299,3.288397,2.147902
chem_n9,14598,deck:n_cut,n,order n,False,0.793669,0.605217,0.188452
chem_n9,14598,deck:n_cut,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:n_cut,C,Sombor deletion correction C(G),False,9.618334,7.284161,2.334174
chem_n9,14598,deck:diam,ds,degree sequence of G,False,6.378235,4.503713,1.874523
chem_n9,14598,deck:diam,ds_sig,multiset of degree sequences of the cards,False,9.618471,5.993033,3.625438
chem_n9,14598,deck:diam,et,multiset of edge degree-types of G,False,9.618471,5.993033,3.625438
chem_n9,14598,deck:diam,so,Sombor index SO(G),False,9.613666,5.988228,3.625438
chem_n9,14598,deck:diam,dd,multiset {Delta_e},False,13.224774,8.212062,5.012712
chem_n9,14598,deck:diam,taus,number of spanning trees,False,9.675644,5.105497,4.570147
chem_n9,14598,deck:diam,tri,number of triangles,False,2.68594,0.891752,1.794188
chem_n9,14598,deck:diam,wiener,Wiener index,False,5.436299,3.418193,2.018106
chem_n9,14598,deck:diam,n,order n,False,0.793669,0.626948,0.166721
chem_n9,14598,deck:diam,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:diam,C,Sombor deletion correction C(G),False,9.618334,5.992896,3.625438
chem_n9,14598,deck:dist_dist,ds,degree sequence of G,False,6.378235,6.339167,0.039068
chem_n9,14598,deck:dist_dist,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.558085,0.060386
chem_n9,14598,deck:dist_dist,et,multiset of edge degree-types of G,False,9.618471,9.558085,0.060386
chem_n9,14598,deck:dist_dist,so,Sombor index SO(G),False,9.613666,9.55328,0.060386
chem_n9,14598,deck:dist_dist,dd,multiset {Delta_e},False,13.224774,13.144879,0.079895
chem_n9,14598,deck:dist_dist,taus,number of spanning trees,False,9.675644,9.598215,0.077429
chem_n9,14598,deck:dist_dist,tri,number of triangles,False,2.68594,2.641148,0.044791
chem_n9,14598,deck:dist_dist,wiener,Wiener index,False,5.436299,5.436162,0.000137
chem_n9,14598,deck:dist_dist,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:dist_dist,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:dist_dist,C,Sombor deletion correction C(G),False,9.618334,9.557948,0.060386
chem_n9,14598,deck:match_poly,ds,degree sequence of G,False,6.378235,6.378098,0.000137
chem_n9,14598,deck:match_poly,ds_sig,multiset of degree sequences of the cards,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:match_poly,et,multiset of edge degree-types of G,False,9.618471,9.618334,0.000137
chem_n9,14598,deck:match_poly,so,Sombor index SO(G),False,9.613666,9.613529,0.000137
chem_n9,14598,deck:match_poly,dd,multiset {Delta_e},False,13.224774,13.224637,0.000137
chem_n9,14598,deck:match_poly,taus,number of spanning trees,False,9.675644,9.675507,0.000137
chem_n9,14598,deck:match_poly,tri,number of triangles,False,2.68594,2.685803,0.000137
chem_n9,14598,deck:match_poly,wiener,Wiener index,False,5.436299,5.436162,0.000137
chem_n9,14598,deck:match_poly,n,order n,False,0.793669,0.793532,0.000137
chem_n9,14598,deck:match_poly,m,size m,True,2.970278,2.970278,0.0
chem_n9,14598,deck:match_poly,C,Sombor deletion correction C(G),False,9.618334,9.618197,0.000137
chem_n9,14598,deck:taus,ds,degree sequence of G,False,6.378235,5.458044,0.920192
chem_n9,14598,deck:taus,ds_sig,multiset of degree sequences of the cards,False,9.618471,7.911499,1.706972
chem_n9,14598,deck:taus,et,multiset of edge degree-types of G,False,9.618471,7.911499,1.706972
chem_n9,14598,deck:taus,so,Sombor index SO(G),False,9.613666,7.906694,1.706972
chem_n9,14598,deck:taus,dd,multiset {Delta_e},False,13.224774,11.299865,1.924908
